Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest,livestock index,crecimiento poblacional,crop production
Heavily indebted poor countries (HIPC),3638687945,77.9792426,22.3319447,5.53920288,186998.665,NA,30.7878152,107.571366,2.84586548,145.450581
Croatia,1843310352,33.6481913,70.7036623,-0.1038682,16842.531,4.23E+10,34.338813,93.83,-0.40734318,111.33
Haiti,1626222456,78.3912383,22.015894,2.77630014,2860.26,1116948100,3.5486213,104.47,1.41613115,171.97
Hungary,1631532793,15.6745498,68.1924014,4.19508241,42086.159,6.50E+12,22.8034895,88.57,-0.26937877,102.44
IBRD only,5392514774,17.2729441,84.41351,4.27241023,20783364.2,NA,33.8652555,127.549755,0.97884756,134.262445
IDA & IBRD total,5172516235,22.7342092,80.8474315,4.36436131,21583850.7,NA,31.9252409,126.898136,1.28733317,133.918885
IDA total,4495598192,66.5305116,34.3827013,5.68335021,792614.145,NA,26.3055112,122.535805,2.2451426,132.135577
IDA blend,4845870018,62.687211,36.2393232,5.80065289,439412.943,NA,20.2840142,132.481201,2.33384912,123.635275
Indonesia,1645463183,37.4542683,66.0894755,5.00666843,464176.194,1.85E+15,50.6159842,140.49,1.3108769,139.24
IDA only,4315482551,70.1981937,32.5658382,5.56026184,350958.198,NA,28.2984672,114.446747,2.19982411,137.686261
Isle of Man,NA,3.81270707,NA,5.0000008,NA,123587000,6.07017551,NA,-0.58281348,NA
India,8962238269,36.6518379,73.5769791,7.41022761,2238377.14,1.68E+13,23.7131167,143.11,1.14562399,144.36
Not classified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,8750521533,8.52066979,84.4375872,8.55668799,34066.43,4.74E+10,10.8628252,103.22,0.73100138,101.17
"Iran, Islamic Rep.",3810949306,0.93911965,99.0225805,4.60341888,649480.705,7.66E+14,6.56449107,112.68,1.27812682,110.32
Iraq,5656703027,0.91210465,95.9841768,0.7,168443.645,2.02E+12,1.90036115,126.04,3.71485531,121.73
Iceland,6948896646,76.338871,10.9284873,2.0802872,1983.847,2.20E+11,0.4778055,116.24,1.11250476,88.98
Israel,2205914688,3.68013235,91.7496361,3.75820019,64601.539,1.51E+11,7.5231055,115.49,1.9195438,103.52
Italy,1776927084,17.0903588,78.5864226,-0.0045475,320411.459,2.32E+11,31.4244924,93.57,0.9175041,85.14
Jamaica,1407433169,16.1167899,80.9713448,0.69147811,7422.008,6.19E+10,30.9861483,101.03,0.57298532,102.88
Jordan,3320542058,3.13055186,97.6084467,3.09633035,26450.071,5199500000,1.09822032,153.86,4.58358044,124.81
