Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest
North Macedonia,3179054123,21.2042386,79.4259147,3.62964131,7510.016,4.41E+10,39.5717684
Mali,3391611574,64.5912607,NA,7.0433562,1411.795,NA,3.92889632
Malta,1443540357,3.93010086,97.7884617,8.70631522,2346.88,NA,1.09374998
Myanmar,4028896854,66.1328538,44.2898952,7.9909156,21631.633,1.14E+13,45.3044043
Middle East & North Africa (excluding high income),4922615176,2.56679436,97.9470497,2.09461398,1418044.78,NA,2.5130019
Montenegro,2194705168,45.9943349,64.664697,1.78368205,2211.201,81337640.9,61.4869888
Mongolia,3929514006,3.26984282,93.1993828,7.88522548,20839.561,8.96E+11,8.14264018
Northern Mariana Islands,103134722,0,NA,3.78590078,NA,NA,64.4782605
Mozambique,2261416414,88.8570478,12.6199535,7.3985128,8426.766,4.46E+10,48.5088614
Mauritania,4311078408,32.0193358,NA,5.57987896,2709.913,5204684941,0.22120889
Mauritius,1529264823,10.6338613,84.5423603,3.74457577,4228.051,4.26E+10,18.9950746
Malawi,2519822884,79.950879,NA,5.7,1276.116,1.13E+11,33.5702164
Malaysia,1692315529,4.76977364,96.6281989,6.00672195,242821.406,2.50E+11,67.5111879
North America,8142225682,10.2205287,81.9794017,2.49301543,5792048.5,NA,36.0143177
Namibia,2601812153,27.6174718,66.7190908,6.35167796,3755.008,1.06E+10,8.49421248
New Caledonia,NA,3.98252302,NA,NA,4290.39,NA,45.8971554
Niger,6054135722,78.1414385,24.0603682,7.52904307,2126.86,2.07E+11,0.91134446
Nigeria,4863337361,87.2992478,18.8767668,6.30971866,96280.752,6.68E+12,8.12784797
Nicaragua,1938772134,51.8392836,40.6953921,4.78452532,4862.442,2.43E+10,25.8766827
Netherlands,1282879707,5.65962774,90.9218839,1.42339541,167303.208,7.40E+10,11.1427722
Norway,7670895927,57.1964019,57.9782333,1.9695443,47626.996,2.24E+11,33.1669047
Nepal,9811601657,84.3747891,15.4826794,5.98898466,8030.73,4.79E+10,25.3644925
Nauru,NA,0.07885016,NA,36.5240981,47.671,5848900,0
New Zealand,6357903512,30.3226371,59.8468441,3.71553307,34664.151,2.81E+10,38.5545547
